1,0.9 $\pm$ 0.03
2,3.3 $\pm$ 0.04
3,7.29 $\pm$ 0.06
4,12.83 $\pm$ 0.07
5,19.95 $\pm$ 0.09
6,28.6 $\pm$ 0.1
7,38.9 $\pm$ 0.1
8,50.7 $\pm$ 0.2
9,64.1 $\pm$ 0.2
10,79.1 $\pm$ 0.2
11,95.7 $\pm$ 0.2
12,113.8 $\pm$ 0.2
13,133.5 $\pm$ 0.3
14,154.7 $\pm$ 0.3
15,177.5 $\pm$ 0.3
16,201.9 $\pm$ 0.3
17,227.9 $\pm$ 0.4
18,255.5 $\pm$ 0.4
19,284.6 $\pm$ 0.4
20,315.2 $\pm$ 0.4
21,347.5 $\pm$ 0.5
22,381.3 $\pm$ 0.5
23,416.7 $\pm$ 0.5
24,453.7 $\pm$ 0.5
25,492.2 $\pm$ 0.6
26,532.3 $\pm$ 0.6
27,574. $\pm$ 0.6
28,617.3 $\pm$ 0.6
29,662.1 $\pm$ 0.6
30,708.5 $\pm$ 0.7
31,756.4 $\pm$ 0.7
32,806. $\pm$ 0.7
33,857.1 $\pm$ 0.7
34,909.7 $\pm$ 0.8
35,964. $\pm$ 0.8